Dataset,TargetID,SensitiveAttribute,Run,TargetModel,ProbCorrectRawIn,ProbCorrectRawOut,AdvantageRaw,ProbCorrectSynIn,ProbCorrectSynOut,AdvantageSyn,PrivacyAdvantage
sigma=0.5,ID1408,X11,0,BayesianNet,1,0.057868,0.942132,0.122072,0.125722,-0.00365,0.945782
sigma=0.5,ID1408,X11,0,IndependentHistogram,1,0.057868,0.942132,0.203117,0.205024,-0.00191,0.944042
sigma=0.5,ID1408,X11,0,PrivBayesEps1.0,1,0.057868,0.942132,0.113879,0.110223,0.003655,0.938477
sigma=0.5,ID1408,X11,1,BayesianNet,1,0.041402,0.958598,0.093365,0.096939,-0.00357,0.962168
sigma=0.5,ID1408,X11,1,IndependentHistogram,1,0.041402,0.958598,0.193944,0.188147,0.005797,0.952801
sigma=0.5,ID1408,X11,1,PrivBayesEps1.0,1,0.041402,0.958598,0.10856,0.112268,-0.00371,0.962308
sigma=0.5,ID1408,X11,2,BayesianNet,1,0.059559,0.940441,0.10313,0.103332,-0.0002,0.940641
sigma=0.5,ID1408,X11,2,IndependentHistogram,1,0.059559,0.940441,0.197151,0.195529,0.001622,0.938819
sigma=0.5,ID1408,X11,2,PrivBayesEps1.0,1,0.059559,0.940441,0.104219,0.113537,-0.00932,0.949761
sigma=0.5,ID1408,X11,3,BayesianNet,1,0.058818,0.941182,0.110533,0.114956,-0.00442,0.945602
sigma=0.5,ID1408,X11,3,IndependentHistogram,1,0.058818,0.941182,0.195345,0.194486,0.000859,0.940323
sigma=0.5,ID1408,X11,3,PrivBayesEps1.0,1,0.058818,0.941182,0.104177,0.111954,-0.00778,0.948962
sigma=0.5,ID1408,X11,4,BayesianNet,1,0.032068,0.967932,0.075098,0.064834,0.010264,0.957668
sigma=0.5,ID1408,X11,4,IndependentHistogram,1,0.032068,0.967932,0.187949,0.190327,-0.00238,0.970312
sigma=0.5,ID1408,X11,4,PrivBayesEps1.0,1,0.032068,0.967932,0.111747,0.106719,0.005029,0.962903
sigma=0.5,ID1408,X11,5,BayesianNet,1,0.044955,0.955045,0.08626,0.086824,-0.00056,0.955605
sigma=0.5,ID1408,X11,5,IndependentHistogram,1,0.044955,0.955045,0.184639,0.183434,0.001205,0.95384
sigma=0.5,ID1408,X11,5,PrivBayesEps1.0,1,0.044955,0.955045,0.109404,0.107058,0.002346,0.952699
sigma=0.5,ID1408,X11,6,BayesianNet,1,0.049854,0.950146,0.105754,0.102901,0.002854,0.947292
sigma=0.5,ID1408,X11,6,IndependentHistogram,1,0.049854,0.950146,0.204766,0.205451,-0.00068,0.950826
sigma=0.5,ID1408,X11,6,PrivBayesEps1.0,1,0.049854,0.950146,0.112621,0.113737,-0.00112,0.951266
sigma=0.5,ID1408,X11,7,BayesianNet,1,0.057447,0.942553,0.100283,0.090552,0.009731,0.932822
sigma=0.5,ID1408,X11,7,IndependentHistogram,1,0.057447,0.942553,0.199995,0.195325,0.00467,0.937883
sigma=0.5,ID1408,X11,7,PrivBayesEps1.0,1,0.057447,0.942553,0.110769,0.106665,0.004104,0.938449
sigma=0.5,ID1408,X11,8,BayesianNet,1,0.042495,0.957505,0.093429,0.085213,0.008216,0.949289
sigma=0.5,ID1408,X11,8,IndependentHistogram,1,0.042495,0.957505,0.190844,0.190509,0.000336,0.957169
sigma=0.5,ID1408,X11,8,PrivBayesEps1.0,1,0.042495,0.957505,0.112203,0.110395,0.001808,0.955697
sigma=0.5,ID1408,X11,9,BayesianNet,1,0.037366,0.962634,0.086541,0.073329,0.013212,0.949422
sigma=0.5,ID1408,X11,9,IndependentHistogram,1,0.037366,0.962634,0.190562,0.192658,-0.0021,0.964734
sigma=0.5,ID1408,X11,9,PrivBayesEps1.0,1,0.037366,0.962634,0.103181,0.109498,-0.00632,0.968954
sigma=0.5,ID1408,X13,0,BayesianNet,1,0.053281,0.946719,0.122945,0.117222,0.005723,0.940996
sigma=0.5,ID1408,X13,0,IndependentHistogram,1,0.053281,0.946719,0.200904,0.208065,-0.00716,0.953879
sigma=0.5,ID1408,X13,0,PrivBayesEps1.0,1,0.053281,0.946719,0.098301,0.101108,-0.00281,0.949529
sigma=0.5,ID1408,X13,1,BayesianNet,1,0.06663,0.93337,0.123282,0.12781,-0.00453,0.9379
sigma=0.5,ID1408,X13,1,IndependentHistogram,1,0.06663,0.93337,0.200457,0.199765,0.000691,0.932679
sigma=0.5,ID1408,X13,1,PrivBayesEps1.0,1,0.06663,0.93337,0.098126,0.090271,0.007855,0.925515
sigma=0.5,ID1408,X13,2,BayesianNet,1,0.067242,0.932758,0.107345,0.113024,-0.00568,0.938438
sigma=0.5,ID1408,X13,2,IndependentHistogram,1,0.067242,0.932758,0.205359,0.202152,0.003207,0.929551
sigma=0.5,ID1408,X13,2,PrivBayesEps1.0,1,0.067242,0.932758,0.101066,0.095241,0.005824,0.926934
sigma=0.5,ID1408,X13,3,BayesianNet,1,0.035817,0.964183,0.085012,0.081019,0.003992,0.960191
sigma=0.5,ID1408,X13,3,IndependentHistogram,1,0.035817,0.964183,0.185767,0.182646,0.003122,0.961061
sigma=0.5,ID1408,X13,3,PrivBayesEps1.0,1,0.035817,0.964183,0.097997,0.085579,0.012419,0.951764
sigma=0.5,ID1408,X13,4,BayesianNet,1,0.042894,0.957106,0.088235,0.090925,-0.00269,0.959796
sigma=0.5,ID1408,X13,4,IndependentHistogram,1,0.042894,0.957106,0.201953,0.199549,0.002404,0.954702
sigma=0.5,ID1408,X13,4,PrivBayesEps1.0,1,0.042894,0.957106,0.089515,0.098155,-0.00864,0.965746
sigma=0.5,ID1408,X13,5,BayesianNet,1,0.079648,0.920352,0.145831,0.137116,0.008715,0.911637
sigma=0.5,ID1408,X13,5,IndependentHistogram,1,0.079648,0.920352,0.196008,0.196042,-3.40E-05,9.20E-01
sigma=0.5,ID1408,X13,5,PrivBayesEps1.0,1,0.079648,0.920352,0.095461,0.088791,0.00667,0.913682
